"aapl",141.05,"4/13/2017","4:00pm",-0.75,141.91,142.38,141.05,17822880
"msft",64.95,"4/13/2017","4:00pm",-0.28,65.29,65.86,64.95,17896483
"i",4.18,"4/13/2017","4:01pm",-0.16,4.31,4.35,4.17,478164
"bm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
